Date,Date,US retail regular gas,Refiner Acquisition
1M 2005,2005,2.04,43.56
2M 2005,2005,2.13,45.71
3M 2005,2005,2.31,51.96
4M 2005,2005,2.49,51.79
5M 2005,2005,2.39,49.58
6M 2005,2005,2.38,55.46
7M 2005,2005,2.52,59.14
8M 2005,2005,2.72,64.96
9M 2005,2005,3.17,65.75
10M 2005,2005,2.96,62.33
11M 2005,2005,2.45,56.68
12M 2005,2005,2.37,56.95
1M 2006,2006,2.51,62.02
2M 2006,2006,2.46,59.15
3M 2006,2006,2.61,60.67
4M 2006,2006,2.94,67.57
5M 2006,2006,3.11,69.92
6M 2006,2006,3.08,69.53
7M 2006,2006,3.17,73.31
8M 2006,2006,3.14,72.01
9M 2006,2006,2.71,62.51
10M 2006,2006,2.38,57.36
11M 2006,2006,2.36,56.79
12M 2006,2006,2.44,59.13
1M 2007,2007,2.35,53.32
2M 2007,2007,2.38,57.01
3M 2007,2007,2.68,59.37
4M 2007,2007,2.97,63.28
5M 2007,2007,3.28,64.25
6M 2007,2007,3.18,67.73
7M 2007,2007,3.08,74.02
8M 2007,2007,2.89,72.09
9M 2007,2007,2.91,76.22
10M 2007,2007,2.9,82.68
11M 2007,2007,3.18,89.69
12M 2007,2007,3.11,88
1M 2008,2008,3.13,89.02
2M 2008,2008,3.11,91.55
3M 2008,2008,3.33,100.5
4M 2008,2008,3.54,108.74
5M 2008,2008,3.85,120.37
6M 2008,2008,4.14,130.01
7M 2008,2008,4.13,131.31
8M 2008,2008,3.84,115.55
9M 2008,2008,3.76,100.37
10M 2008,2008,3.1,75.33
11M 2008,2008,2.18,54.09
12M 2008,2008,1.71,38.18
1M 2009,2009,1.81,37.9
2M 2009,2009,1.95,38.59
3M 2009,2009,1.98,46.1
4M 2009,2009,2.08,49.42
5M 2009,2009,2.3,56.71
6M 2009,2009,2.67,66.62
7M 2009,2009,2.56,64.46
8M 2009,2009,2.65,68.91
9M 2009,2009,2.59,68.61
10M 2009,2009,2.58,72.91
11M 2009,2009,2.68,75.26
12M 2009,2009,2.63,73.63
1M 2010,2010,2.74,76.11
2M 2010,2010,2.66,75.11
3M 2010,2010,2.79,77.87
4M 2010,2010,2.86,81.15
5M 2010,2010,2.84,72.84
6M 2010,2010,2.73,72.73
7M 2010,2010,2.73,73.69
8M 2010,2010,2.72,74.42
9M 2010,2010,2.69,73.57
10M 2010,2010,2.78,77.32
11M 2010,2010,2.84,80.26
12M 2010,2010,2.97,85.2
1M 2011,2011,3.06,87.19
2M 2011,2011,3.17,89.62
3M 2011,2011,3.51,101.04
4M 2011,2011,3.74,110.64
5M 2011,2011,3.83,105.8
6M 2011,2011,3.6,102.04
7M 2011,2011,3.57,102.24
8M 2011,2011,3.55,95.29
9M 2011,2011,3.52,96.85
10M 2011,2011,3.36,98.07
11M 2011,2011,3.3,104.52
12M 2011,2011,3.18,102.84
1M 2012,2012,3.28,101.63
2M 2012,2012,3.47,103.86
3M 2012,2012,3.73,107.31
4M 2012,2012,3.77,105.97
5M 2012,2012,3.6,99.52
6M 2012,2012,3.41,88.56
7M 2012,2012,3.31,89.23
8M 2012,2012,3.57,93.76
9M 2012,2012,3.69,97.73
10M 2012,2012,3.59,95.78
11M 2012,2012,3.3,92.58
12M 2012,2012,3.16,90.83
1M 2013,2013,3.17,96.19
2M 2013,2013,3.5,96.72
3M 2013,2013,3.53,96.41
4M 2013,2013,3.4,94.69
5M 2013,2013,3.44,95.22
6M 2013,2013,3.44,93.67
7M 2013,2013,3.4,98.43
8M 2013,2013,3.38,100.52
9M 2013,2013,3.34,99.92
10M 2013,2013,3.16,94.8
11M 2013,2013,3.06,88
12M 2013,2013,3.09,88.84
1M 2014,2014,3.12,88.03
2M 2014,2014,3.15,93.36
3M 2014,2014,3.32,93.9
4M 2014,2014,3.43,93.76
5M 2014,2014,3.43,94.04
6M 2014,2014,3.44,95.34
7M 2014,2014,3.37,92.93
8M 2014,2014,3.25,89.15
9M 2014,2014,3.17,85.92
10M 2014,2014,3.07,83.68
11M 2014,2014,3,83.52
12M 2014,2014,2.9,83.37
1M 2015,2015,2.92,84.11
2M 2015,2015,3.01,84.89
3M 2015,2015,3.11,84.76
4M 2015,2015,3.19,85.59
5M 2015,2015,3.25,85.48
6M 2015,2015,3.25,87.21
7M 2015,2015,3.22,88.96
8M 2015,2015,3.17,87.92
9M 2015,2015,3.14,86.86
10M 2015,2015,3.05,84.83
11M 2015,2015,2.96,84.68
12M 2015,2015,2.88,84.54
